"HtmlFile","Href","DecodedHref","ExpectedLocalPath","Status"
"Sketches\objects\furniture-fixtures-and-appliances\p-o-t-a-t-o-r-a-b-b-b-i-ts-c-o-u-c-h\index.html","../../../../images/Sketches/Objects/furniture-fixtures-and-appliances/potato rabbbit","../../../../images/Sketches/Objects/furniture-fixtures-and-appliances/potato rabbbit","D:\github\ron-english-sketches-objects\images\Sketches\Objects\furniture-fixtures-and-appliances\potato rabbbit","Missing"
"Sketches\objects\furniture-fixtures-and-appliances\p-o-t-a-t-os-c-o-u-c-h\index.html","../../../../images/Sketches/Objects/furniture-fixtures-and-appliances/Potato","../../../../images/Sketches/Objects/furniture-fixtures-and-appliances/Potato","D:\github\ron-english-sketches-objects\images\Sketches\Objects\furniture-fixtures-and-appliances\Potato","Missing"
"Sketches\objects\furniture-fixtures-and-appliances\p-o-t-a-t-os-c-o-u-c-h\index.html","../../../../images/Sketches/Objects/furniture-fixtures-and-appliances/Potato","../../../../images/Sketches/Objects/furniture-fixtures-and-appliances/Potato","D:\github\ron-english-sketches-objects\images\Sketches\Objects\furniture-fixtures-and-appliances\Potato","Missing"
"Sketches\objects\furniture-fixtures-and-appliances\potato-s-couch\index.html","../../../../images/Sketches/Objects/furniture-fixtures-and-appliances/potato rabbbit","../../../../images/Sketches/Objects/furniture-fixtures-and-appliances/potato rabbbit","D:\github\ron-english-sketches-objects\images\Sketches\Objects\furniture-fixtures-and-appliances\potato rabbbit","Missing"
"Sketches\objects\furniture-fixtures-and-appliances\potato-s-couch\index.html","../../../../images/Sketches/Objects/furniture-fixtures-and-appliances/Potato","../../../../images/Sketches/Objects/furniture-fixtures-and-appliances/Potato","D:\github\ron-english-sketches-objects\images\Sketches\Objects\furniture-fixtures-and-appliances\Potato","Missing"
"Sketches\objects\furniture-fixtures-and-appliances\potato-s-couch\index.html","../../../../images/Sketches/Objects/furniture-fixtures-and-appliances/Potato","../../../../images/Sketches/Objects/furniture-fixtures-and-appliances/Potato","D:\github\ron-english-sketches-objects\images\Sketches\Objects\furniture-fixtures-and-appliances\Potato","Missing"
"Sketches\objects\money-and-currency\r-i-g-h-w-i-n-g-d-o-l-l-a-r-s-e-a-l\index.html","../../../../images/Sketches/Objects/money-and-currency/righwing_dollar_seal.tif","../../../../images/Sketches/Objects/money-and-currency/righwing_dollar_seal.tif","D:\github\ron-english-sketches-objects\images\Sketches\Objects\money-and-currency\righwing_dollar_seal.tif","Missing"
"Sketches\objects\patterns-symbols-and-icons\d-e-l-u-s-i-o-n-v-i-l-l-e-c-a-m-o-d-o-t-h-i-g-h-r-e-s-l\index.html","../../../../images/Sketches/Objects/patterns-symbols-and-icons/Delusionville%2BCamodot_HighResl.tif","../../../../images/Sketches/Objects/patterns-symbols-and-icons/Delusionville+Camodot_HighResl.tif","D:\github\ron-english-sketches-objects\images\Sketches\Objects\patterns-symbols-and-icons\Delusionville+Camodot_HighResl.tif","Missing"
"Sketches\objects\patterns-symbols-and-icons\delusionville-camodot-high-resl\index.html","../../../../images/Sketches/Objects/patterns-symbols-and-icons/Delusionville%2BCamodot_HighResl.tif","../../../../images/Sketches/Objects/patterns-symbols-and-icons/Delusionville+Camodot_HighResl.tif","D:\github\ron-english-sketches-objects\images\Sketches\Objects\patterns-symbols-and-icons\Delusionville+Camodot_HighResl.tif","Missing"
"Sketches\objects\patterns-symbols-and-icons\f-a-m-i-l-y-i-c-o-n-p-a-g-e-d-e-l-u-s-i-o-n-v-i-l-l-e-b-o-o-k-01\index.html","../../../../images/Sketches/Objects/patterns-symbols-and-icons/family_iconpage_delusionville_book-01.tif","../../../../images/Sketches/Objects/patterns-symbols-and-icons/family_iconpage_delusionville_book-01.tif","D:\github\ron-english-sketches-objects\images\Sketches\Objects\patterns-symbols-and-icons\family_iconpage_delusionville_book-01.tif","Missing"
"Sketches\objects\patterns-symbols-and-icons\family-iconpage-delusionville-book-01\index.html","../../../../images/Sketches/Objects/patterns-symbols-and-icons/family_iconpage_delusionville_book-01.tif","../../../../images/Sketches/Objects/patterns-symbols-and-icons/family_iconpage_delusionville_book-01.tif","D:\github\ron-english-sketches-objects\images\Sketches\Objects\patterns-symbols-and-icons\family_iconpage_delusionville_book-01.tif","Missing"
"Sketches\objects\wearables-and-accessories\shoes\s-h-o-e\index.html","../../../../../images/Sketches/Objects/wearables-and-accessories/shoes/shoe.bmp","../../../../../images/Sketches/Objects/wearables-and-accessories/shoes/shoe.bmp","D:\github\ron-english-sketches-objects\images\Sketches\Objects\wearables-and-accessories\shoes\shoe.bmp","Missing"
"Sketches\objects\wearables-and-accessories\shoes\shoe\index.html","../../../../../images/Sketches/Objects/wearables-and-accessories/shoes/shoe.bmp","../../../../../images/Sketches/Objects/wearables-and-accessories/shoes/shoe.bmp","D:\github\ron-english-sketches-objects\images\Sketches\Objects\wearables-and-accessories\shoes\shoe.bmp","Missing"
