"Type","Name","SourcePath","DestinationPath","SourceExists","DestinationExists","SourceFileCount","DestinationFileCount","SourceSize","DestinationSize","Notes"
"Page folder","Objects","D:\github\ron-english-sketches-and-drawings\Sketches\objects","D:\github\ron-english-sketches-objects\Sketches\objects","True","True","721","721","6.05 MB","6.04 MB","Backup folders may be excluded from destination"
"Page folder","Flowers","D:\github\ron-english-sketches-and-drawings\Sketches\flowers","D:\github\ron-english-sketches-objects\Sketches\flowers","True","True","30","30","261.09 KB","261.09 KB","Backup folders may be excluded from destination"
"Image folder","Objects","D:\github\ron-english-sketches-and-drawings\images\Sketches\Objects","D:\github\ron-english-sketches-objects\images\Sketches\Objects","True","True","546","546","104.32 MB","104.32 MB","Required"
"Image folder","flowers","D:\github\ron-english-sketches-and-drawings\images\Sketches\flowers","D:\github\ron-english-sketches-objects\images\Sketches\flowers","True","True","64","64","9.68 MB","9.68 MB","Required"
"Image folder","animation","D:\github\ron-english-sketches-and-drawings\images\Sketches\animation","D:\github\ron-english-sketches-objects\images\Sketches\animation","True","True","10","10","3.41 MB","3.41 MB","Optional supplemental folder"
"Generated file","Root landing page","","D:\github\ron-english-sketches-objects\index.html","","True","","","","","Repository home page"
"Generated file","Sketches landing page","","D:\github\ron-english-sketches-objects\Sketches\index.html","","True","","","","","Objects landing page"
"Audit","Navigation updates","","","","","","","","","HTML scanned: 752; HTML changed: 668; anchors updated: 951; anchors removed: 27"
"Audit","Possible missing image references","","D:\github\ron-english-sketches-objects\_copy-audit\copy-objects-to-new-repo-20260511-150205-possible-missing-image-references.csv","","True","","35","","","Should ideally be 0 after auto-copy."
"Audit","Auto-copied missing images","","D:\github\ron-english-sketches-objects\_copy-audit\copy-objects-to-new-repo-20260511-150205-auto-copied-missing-images.csv","","True","","0","","","Root-level hero or other missing image files copied from source."
"Audit","Possible missing internal page links","","D:\github\ron-english-sketches-objects\_copy-audit\copy-objects-to-new-repo-20260511-150205-possible-missing-internal-page-links.csv","","True","","13","","","May include intentionally removed links to other split repos."
